,Events
0,"{'session_start':2019-11-03T19:03:03.472616, 'upload_name':None, 'upload_length':None, 'upload_width':None, 'download_time':, 'fit_download':, 'slider_download':, 'last_comment':None, 'inlier_count':0, 'outlier_count':199}"
1,"{'session_start':2019-11-03T19:03:03.472616, 'upload_name':None, 'upload_length':None, 'upload_width':None, 'download_time':, 'fit_download':, 'slider_download':, 'last_comment':None, 'inlier_count':193, 'outlier_count':6}"
2,"{'session_start':2019-11-03T19:03:03.472616, 'upload_name':design_data.csv, 'upload_length':None, 'upload_width':None, 'download_time':, 'fit_download':, 'slider_download':, 'last_comment':None, 'inlier_count':193, 'outlier_count':6}"
3,"{'session_start':2019-11-03T19:03:03.472616, 'upload_name':design_data.csv, 'upload_length':199, 'upload_width':2, 'download_time':2019-11-03T19:03:57.684281, 'fit_download':power, 'slider_download':{'xmin':0, 'xmax':98.19726563, 'xslider':[34.860029298650005, 98.19726563], 'ymin':111.5474023, 'ymax':1448.057726, 'yslider':[111.5474023, 1448.057726]}, 'last_comment':None, 'inlier_count':41, 'outlier_count':158}"
4,"{'session_start':2019-11-03T19:03:03.472616, 'upload_name':design_data.csv, 'upload_length':199, 'upload_width':2, 'download_time':2019-11-03T19:04:10.049540, 'fit_download':power, 'slider_download':{'xmin':0, 'xmax':98.19726563, 'xslider':[34.860029298650005, 98.19726563], 'ymin':111.5474023, 'ymax':1448.057726, 'yslider':[111.5474023, 1448.057726]}, 'last_comment':Event comment, 'inlier_count':41, 'outlier_count':158}"
